# recorded from runs/20260919-012524
POWER OFF
WAIT 3 S
POWER ON
WAIT 5 S
MODE INJECT
SET 00
RESET
AT 339 08
AT 346 00
AT 477 08
AT 484 00
AT 714 02
AT 727 82
AT 742 80
AT 743 82
AT 768 80
AT 776 81
AT 781 01
AT 786 00
AT 790 40
AT 803 00
AT 811 80
AT 825 00
AT 836 40
AT 843 10
AT 845 00
AT 855 80
AT 870 00
AT 876 01
AT 890 81
AT 909 01
AT 912 00
AT 921 10
AT 923 11
AT 926 91
AT 930 81
AT 960 80
AT 965 00
AT 973 80
AT 987 00
AT 992 80
AT 1012 81
AT 1026 01
AT 1030 00
AT 1033 10
AT 1034 50
AT 1039 40
AT 1046 10
AT 1047 00
AT 1051 81
AT 1055 11
AT 1057 51
AT 1069 40
AT 1107 10
AT 1108 00
AT 1109 80
AT 1127 82
AT 1209 80
AT 1257 81
AT 1272 80
AT 1288 82
AT 1308 02
AT 1310 82
AT 1338 83
AT 1356 82
AT 1364 02
AT 1366 42
AT 1381 52
AT 1382 12
AT 1383 02
AT 1385 82
AT 1400 83
AT 1428 82
AT 1430 12
AT 1432 52
AT 1441 42
AT 1442 02
AT 1443 52
AT 1447 53
AT 1451 43
AT 1457 13
AT 1459 12
AT 1460 02
AT 1461 82
AT 1468 83
AT 1477 82
AT 1481 02
AT 1482 82
AT 1508 83
AT 1515 03
AT 1516 13
AT 1521 03
AT 1523 83
AT 1530 82
AT 1532 02
AT 1533 12
AT 1534 52
AT 1551 02
AT 1553 82
AT 1569 02
AT 1574 82
AT 1602 83
AT 1616 82
AT 1617 02
AT 1618 22
AT 1620 62
AT 1631 42
AT 1632 52
AT 1633 12
AT 1635 02
AT 1638 12
AT 1639 42
AT 1653 12
AT 1656 82
AT 1696 83
AT 1712 03
AT 1714 02
AT 1721 42
AT 1728 02
AT 1730 82
AT 1749 83
AT 1755 93
AT 1760 83
AT 1770 82
AT 1775 02
AT 1779 12
AT 1781 52
AT 1801 12
AT 1804 52
AT 1812 13
AT 1815 93
AT 1816 13
AT 1820 53
AT 1821 43
AT 1852 53
AT 1853 12
AT 1855 02
AT 1860 82
AT 1884 02
AT 1901 82
AT 1916 83
AT 1919 93
AT 1920 83
AT 1962 82
AT 2012 83
AT 2047 82
AT 2078 83
AT 2115 82
AT 2129 83
AT 2149 82
AT 2152 80
AT 2153 82
AT 2163 83
AT 2176 82
AT 2191 83
AT 2205 82
AT 2217 83
AT 2231 82
AT 2233 83
AT 2246 82
AT 2249 83
AT 2267 82
AT 2278 80
AT 2288 82
AT 2311 83
AT 2330 03
AT 2331 22
AT 2332 02
AT 2333 42
AT 2344 40
AT 2345 00
AT 2347 82
AT 2352 80
AT 2359 00
AT 2362 02
AT 2363 03
AT 2370 02
AT 2371 00
AT 2374 02
AT 2378 00
AT 2395 02
AT 2400 00
AT 2404 02
AT 2408 00
AT 2409 80
AT 2410 00
AT 2413 02
AT 2416 82
AT 2418 80
AT 2421 82
AT 2467 83
AT 2486 02
AT 2487 42
AT 2498 40
AT 2500 42
AT 2502 12
AT 2503 53
AT 2508 42
AT 2509 43
AT 2510 13
AT 2513 83
AT 2514 93
AT 2521 83
AT 2533 82
AT 2547 80
AT 2552 82
AT 2557 83
AT 2570 82
AT 2575 80
AT 2577 00
AT 2578 80
AT 2582 82
AT 2584 83
AT 2611 82
AT 2612 02
AT 2614 12
AT 2615 50
AT 2616 40
AT 2624 62
AT 2625 02
AT 2626 03
AT 2627 83
AT 2643 02
AT 2647 52
AT 2655 42
AT 2657 02
AT 2659 82
AT 2669 02
AT 2681 82
AT 2689 83
AT 2703 02
AT 2705 10
AT 2707 80
AT 2708 83
AT 2723 82
AT 2727 02
AT 2732 12
AT 2734 52
AT 2735 42
AT 2739 40
AT 2741 00
AT 2742 80
AT 2745 82
AT 2754 83
AT 2791 80
AT 2796 82
AT 2808 80
AT 2810 82
AT 2812 83
AT 2824 82
AT 2825 80
AT 2829 82
AT 2830 83
AT 2833 82
AT 2837 80
AT 2838 82
AT 2844 80
AT 2848 82
AT 2851 80
AT 2856 82
AT 2861 80
AT 2865 82
AT 2869 80
AT 2872 82
AT 2878 80
AT 2881 82
AT 2896 83
AT 2913 82
AT 2926 80
AT 2932 82
AT 2938 83
AT 2966 82
AT 2969 80
AT 2979 82
AT 2983 83
AT 3018 82
AT 3021 80
AT 3032 82
AT 3033 83
AT 3056 03
AT 3057 00
AT 3058 40
AT 3063 50
AT 3071 40
AT 3072 00
AT 3074 80
AT 3087 82
AT 3091 83
AT 3097 82
AT 3102 83
AT 3133 82
AT 3137 80
AT 3155 82
AT 3156 83
AT 3192 02
AT 3194 00
# 3602 polls, 289 changes, last latch 3601
